Results Table 1


Results Table 2


1,Time,Displacement,Force,Rotation,Torque
,(s),(mm),(mN),(deg),(N-mm)
2,Time,Displacement,Force,Rotation,Torque
,(s),(mm),(mN),(deg),(N-mm)
"","27.0390","5.8468","9922.86205","-9.6543","16.4233"
"","27.0440","5.9003","10033.83636","-9.6543","15.9476"
"","27.0490","5.9533","10149.88518","-9.6543","15.4670"
"","27.0540","6.0055","10274.52087","-9.6543","14.9839"
"","27.0590","6.0570","10403.62740","-9.6543","14.5076"
"","27.0640","6.1078","10532.21416","-9.6543","14.0463"
"","27.0690","6.1581","10653.07808","-9.6543","13.5882"
"","27.0740","6.2079","10764.60075","-9.6543","13.1369"
"","27.0790","6.2573","10871.13094","-9.6543","12.7209"
"","27.0840","6.3065","10976.23920","-9.6543","12.3506"
"","27.0890","6.3556","11084.85126","-9.6543","11.9816"
"","27.0940","6.4046","11196.02108","-9.6543","11.5793"
"","27.0980","6.4438","11284.36089","-9.6543","11.2639"
"","27.0990","6.4536","11306.27918","-9.6543","11.1856"
"","29.5940","10.8744","17207.19910","-9.6543","-8.0864"
"","29.5990","10.8744","17203.94325","-9.6543","-8.0991"
"","29.6040","10.8745","17204.95987","-9.6543","-8.1068"
"","29.6090","10.8750","17211.15875","-9.6543","-8.0838"
"","29.6140","10.8766","17222.55135","-9.6543","-8.0556"
"","29.6190","10.8806","17236.64665","-9.6543","-8.0552"
"","29.6240","10.8884","17253.19290","-9.6543","-8.0962"
"","29.6290","10.9018","17276.60370","-9.6543","-8.1869"
"","29.6340","10.9220","17314.07547","-9.6543","-8.3402"
"","29.6390","10.9497","17380.09262","-9.6543","-8.6128"
"","29.6440","10.9844","17486.39679","-9.6543","-8.9968"
"","29.6490","11.0255","17632.84302","-9.6543","-9.4657"
"","29.6540","11.0717","17805.33409","-9.6543","-9.9894"
"","29.6590","11.1215","17985.80170","-9.6543","-10.5174"
"","29.6640","11.1737","18157.69958","-9.6543","-11.0271"
"","29.6690","11.2271","18313.25722","-9.6543","-11.5183"
"","29.6740","11.2808","18455.35660","-9.6543","-11.9704"
"","29.6790","11.3343","18589.98108","-9.6543","-12.4067"
"","29.6840","11.3872","18725.61264","-9.6543","-12.8518"
"","29.6890","11.4394","18866.85944","-9.6543","-13.3155"
"","29.6940","11.4908","19011.63673","-9.6543","-13.7827"
"","29.6990","11.5415","19155.12466","-9.6543","-14.2650"
"","29.7040","11.5917","19292.20772","-9.6543","-14.7471"
"","29.7090","11.6414","19422.64748","-9.6543","-15.1821"
"","29.7140","11.6908","19547.43576","-9.6543","-15.5432"
"","29.7190","11.7400","19671.00716","-9.6543","-15.8863"
"","29.7240","11.7890","19796.36192","-9.6543","-16.2397"
"","29.7290","11.8380","19921.13304","-9.6543","-16.5960"
"","29.7330","11.8772","20017.09747","-9.6543","-16.8884"
"","29.7340","11.8870","20040.57693","-9.6543","-16.9609"
"","32.2330","16.3069","25966.99333","-9.6543","-30.9834"
"","32.2380","16.3069","25966.57372","-9.6543","-30.9497"
"","32.2430","16.3070","25968.62984","-9.6543","-30.9362"
"","32.2480","16.3075","25972.52274","-9.6543","-30.9238"
"","32.2530","16.3092","25979.60281","-9.6543","-30.9342"
"","32.2580","16.3132","25991.25862","-9.6543","-30.9782"
"","32.2630","16.3210","26006.72531","-9.6543","-31.0503"
"","32.2680","16.3344","26031.32248","-9.6543","-31.1633"
"","32.2730","16.3547","26073.46916","-9.6543","-31.3106"
"","32.2780","16.3823","26148.70071","-9.6543","-31.5415"
"","32.2830","16.4172","26267.55714","-9.6543","-31.8858"
"","32.2880","16.4583","26429.25072","-9.6543","-32.2987"
"","32.2930","16.5044","26616.85181","-9.6543","-32.7496"
"","32.2980","16.5543","26812.04033","-9.6543","-33.2206"
"","32.3030","16.6065","26997.05696","-9.6543","-33.6774"
"","32.3080","16.6599","27164.94370","-9.6543","-34.0923"
"","32.3130","16.7137","27319.33784","-9.6543","-34.4876"
"","32.3180","16.7672","27468.21976","-9.6543","-34.8883"
"","32.3230","16.8201","27619.85207","-9.6543","-35.2745"
"","32.3280","16.8723","27779.19769","-9.6543","-35.6432"
"","32.3330","16.9237","27942.33131","-9.6543","-36.0052"
"","32.3380","16.9744","28102.92435","-9.6543","-36.3597"
"","32.3430","17.0246","28255.16701","-9.6543","-36.7089"
"","32.3480","17.0743","28398.22769","-9.6543","-37.0540"
"","32.3530","17.1237","28534.64699","-9.6543","-37.4031"
"","32.3580","17.1728","28669.72351","-9.6543","-37.7334"
"","32.3630","17.2219","28807.36160","-9.6543","-38.0597"
"","32.3680","17.2709","28947.30759","-9.6543","-38.3945"
"","32.3720","17.3101","29058.74634","-9.6543","-38.6548"
"","32.3730","17.3199","29086.19308","-9.6543","-38.7207"
"","34.8740","21.7407","34642.84897","-9.6543","-46.0283"
"","34.8790","21.7407","34637.00867","-9.6543","-46.0271"
"","34.8840","21.7407","34636.45172","-9.6543","-46.0357"
"","34.8890","21.7412","34640.08331","-9.6543","-46.0449"
"","34.8940","21.7428","34649.65057","-9.6543","-46.0518"
"","34.8990","21.7467","34662.72354","-9.6543","-46.0585"
"","34.9040","21.7544","34678.32184","-9.6543","-46.0599"
"","34.9090","21.7676","34701.96915","-9.6543","-46.0847"
"","34.9140","21.7877","34743.98804","-9.6543","-46.1597"
"","34.9190","21.8151","34821.60568","-9.6543","-46.3105"
"","34.9240","21.8497","34944.58008","-9.6543","-46.5739"
"","34.9290","21.8907","35112.32758","-9.6543","-46.9242"
"","34.9340","21.9368","35309.45206","-9.6543","-47.2999"
"","34.9390","21.9866","35515.41138","-9.6543","-47.6881"
"","34.9440","22.0387","35712.89825","-9.6543","-48.0715"
"","34.9490","22.0920","35893.49747","-9.6543","-48.4398"
"","34.9540","22.1458","36058.88748","-9.6543","-48.7543"
"","34.9590","22.1992","36216.96472","-9.6543","-49.0390"
"","34.9640","22.2522","36377.78091","-9.6543","-49.3359"
"","34.9690","22.3044","36543.49518","-9.6543","-49.6462"
"","34.9740","22.3559","36711.94839","-9.6543","-49.9601"
"","34.9790","22.4067","36879.42886","-9.6543","-50.2713"
"","34.9840","22.4569","37041.58020","-9.6543","-50.5881"
"","34.9890","22.5067","37195.72067","-9.6543","-50.8938"
"","34.9940","22.5562","37341.96854","-9.6543","-51.1566"
"","34.9990","22.6054","37483.03604","-9.6543","-51.3814"
"","35.0040","22.6545","37621.26160","-9.6543","-51.5905"
"","35.0090","22.7035","37757.70569","-9.6543","-51.8035"
"","35.0130","22.7426","37866.97006","-9.6543","-51.9932"
"","35.0140","22.7524","37894.07730","-9.6543","-52.0431"
"","37.4990","27.1723","41554.28314","-9.6543","-49.3338"
"","37.5040","27.1723","41548.56491","-9.6543","-49.3084"
"","37.5090","27.1724","41547.43958","-9.6543","-49.2964"
"","37.5140","27.1729","41551.63956","-9.6543","-49.2852"
