Time,Displacement,Force,Rotation,Torque
(s),(mm),(mN),(deg),(N-mm)
"27.0160","6.2571","3915.10415","-9.6849","9.4130"
"27.0210","6.3062","4008.54063","-9.6849","9.0907"
"27.0260","6.3552","4104.00057","-9.6849","8.7622"
"27.0310","6.4040","4198.97842","-9.6849","8.4214"
"27.0350","6.4432","4274.25671","-9.6849","8.1505"
"27.0360","6.4529","4292.71507","-9.6849","8.0814"
"29.5350","10.8725","8359.86328","-9.6849","-4.7211"
"29.5400","10.8725","8356.31943","-9.6849","-4.7242"
"29.5450","10.8726","8356.66656","-9.6849","-4.7155"
"29.5500","10.8731","8360.83794","-9.6849","-4.7084"
"29.5550","10.8747","8369.50493","-9.6849","-4.7008"
"29.5600","10.8787","8380.78976","-9.6849","-4.6919"
"29.5650","10.8865","8393.36014","-9.6849","-4.7009"
"29.5700","10.8999","8408.77628","-9.6849","-4.7658"
"29.5750","10.9202","8433.87699","-9.6849","-4.8912"
"29.5800","10.9478","8483.08277","-9.6849","-5.1061"
"29.5850","10.9825","8566.24985","-9.6849","-5.4235"
"29.5900","11.0236","8683.37727","-9.6849","-5.8179"
"29.5950","11.0697","8823.65608","-9.6849","-6.2507"
"29.6000","11.1195","8970.06893","-9.6849","-6.6778"
"29.6050","11.1717","9107.56874","-9.6849","-7.0984"
"29.6100","11.2250","9229.75063","-9.6849","-7.5112"
"29.6150","11.2787","9340.25383","-9.6849","-7.8898"
"29.6200","11.3321","9446.04206","-9.6849","-8.2620"
"29.6250","11.3850","9555.62973","-9.6849","-8.6376"
"29.6300","11.4371","9670.19463","-9.6849","-9.0120"
"29.6350","11.4885","9787.92667","-9.6849","-9.3682"
"29.6400","11.5392","9904.64115","-9.6849","-9.7085"
"29.6450","11.5894","10016.28685","-9.6849","-10.0311"
"29.6500","11.6391","10121.03748","-9.6849","-10.3254"
"29.6550","11.6885","10220.83950","-9.6849","-10.6082"
"29.6600","11.7377","10321.34628","-9.6849","-10.8857"
"29.6650","11.7868","10426.46313","-9.6849","-11.1705"
"29.6700","11.8359","10534.34753","-9.6849","-11.4782"
"29.6740","11.8750","10620.28980","-9.6849","-11.7246"
"29.6750","11.8848","10641.33453","-9.6849","-11.7885"
"32.1620","16.3058","15308.43258","-9.6849","-22.1930"
"32.1670","16.3058","15305.75657","-9.6849","-22.1851"
"32.1720","16.3059","15306.35834","-9.6849","-22.1854"
"32.1770","16.3064","15310.33993","-9.6849","-22.1676"
"32.1820","16.3081","15317.71469","-9.6849","-22.1498"
"32.1870","16.3120","15326.37882","-9.6849","-22.1578"
"32.1920","16.3197","15336.88736","-9.6849","-22.1974"
"32.1970","16.3330","15349.98417","-9.6849","-22.2581"
"32.2020","16.3531","15374.22085","-9.6849","-22.3619"
"32.2070","16.3806","15426.58043","-9.6849","-22.5296"
"32.2120","16.4152","15518.03589","-9.6849","-22.7832"
"32.2170","16.4562","15648.02742","-9.6849","-23.1026"
"32.2220","16.5023","15802.27375","-9.6849","-23.4533"
"32.2270","16.5522","15962.64553","-9.6849","-23.8105"
"32.2320","16.6044","16111.95374","-9.6849","-24.1697"
"32.2370","16.6579","16244.52972","-9.6849","-24.5328"
"32.2420","16.7117","16363.93929","-9.6849","-24.8635"
"32.2470","16.7653","16478.26576","-9.6849","-25.1883"
"32.2520","16.8183","16597.54753","-9.6849","-25.5209"
"32.2570","16.8705","16725.22354","-9.6849","-25.8580"
"32.2620","16.9220","16857.43523","-9.6849","-26.1936"
"32.2670","16.9727","16987.84065","-9.6849","-26.5210"
"32.2720","17.0229","17111.51505","-9.6849","-26.8414"
"32.2770","17.0726","17225.89684","-9.6849","-27.1468"
"32.2820","17.1220","17335.21843","-9.6849","-27.4077"
"32.2870","17.1711","17445.47844","-9.6849","-27.6388"
"32.2920","17.2200","17558.00247","-9.6849","-27.8690"
"32.2970","17.2689","17672.92786","-9.6849","-28.1089"
"32.3010","17.3080","17764.34708","-9.6849","-28.3225"
"32.3020","17.3178","17786.88240","-9.6849","-28.3746"
"34.7990","21.7389","21649.36066","-9.6849","-31.7295"
"34.8040","21.7389","21644.06967","-9.6849","-31.7431"
"34.8090","21.7390","21643.67294","-9.6849","-31.7526"
"34.8140","21.7395","21648.34595","-9.6849","-31.7531"
"34.8190","21.7412","21656.45218","-9.6849","-31.7395"
"34.8240","21.7451","21666.27693","-9.6849","-31.7366"
"34.8290","21.7529","21676.28098","-9.6849","-31.7472"
"34.8340","21.7662","21690.06538","-9.6849","-31.7729"
"34.8390","21.7864","21715.52849","-9.6849","-31.8158"
"34.8440","21.8140","21769.64569","-9.6849","-31.8989"
"34.8490","21.8488","21861.99760","-9.6849","-32.0812"
"34.8540","21.8900","21992.58041","-9.6849","-32.3226"
"34.8590","21.9363","22150.39062","-9.6849","-32.5714"
"34.8640","21.9863","22315.76920","-9.6849","-32.8335"
"34.8690","22.0386","22469.86008","-9.6849","-33.0909"
"34.8740","22.0921","22604.75159","-9.6849","-33.3232"
"34.8790","22.1459","22725.66223","-9.6849","-33.5328"
"34.8840","22.1994","22839.40697","-9.6849","-33.7576"
"34.8890","22.2523","22957.18956","-9.6849","-33.9910"
"34.8940","22.3045","23083.90045","-9.6849","-34.2307"
"34.8990","22.3559","23215.55138","-9.6849","-34.4873"
"34.9040","22.4067","23346.75217","-9.6849","-34.7348"
"34.9090","22.4568","23471.93527","-9.6849","-34.9792"
"34.9140","22.5065","23589.02550","-9.6849","-35.1970"
"34.9190","22.5559","23699.37515","-9.6849","-35.4077"
"34.9240","22.6050","23808.84743","-9.6849","-35.6066"
"34.9290","22.6540","23921.66710","-9.6849","-35.7992"
"34.9340","22.7029","24035.78949","-9.6849","-36.0031"
"34.9380","22.7421","24126.85204","-9.6849","-36.1719"
"34.9390","22.7518","24149.49989","-9.6849","-36.2122"
"37.4380","27.1722","27131.52695","-9.6849","-33.4864"
"37.4430","27.1722","27124.51363","-9.6849","-33.4557"
"37.4480","27.1723","27121.34552","-9.6849","-33.4518"
"37.4530","27.1728","27122.67685","-9.6849","-33.4510"
"37.4580","27.1744","27129.05312","-9.6849","-33.4543"
"37.4630","27.1784","27137.51221","-9.6849","-33.4641"
"37.4680","27.1863","27147.90344","-9.6849","-33.4831"
"37.4730","27.1996","27160.82001","-9.6849","-33.5095"
"37.4780","27.2198","27184.60083","-9.6849","-33.5506"
"37.4830","27.2473","27234.27010","-9.6849","-33.6249"
"37.4880","27.2820","27321.00487","-9.6849","-33.7493"
"37.4930","27.3232","27445.50896","-9.6849","-33.9133"
"37.4980","27.3695","27595.05272","-9.6849","-34.1002"
"37.5030","27.4195","27753.23105","-9.6849","-34.2866"
"37.5080","27.4720","27903.12004","-9.6849","-34.4584"
"37.5130","27.5256","28037.43553","-9.6849","-34.6278"
"37.5180","27.5796","28158.30040","-9.6849","-34.7847"
"37.5230","27.6332","28269.14597","-9.6849","-34.9103"
"37.5280","27.6862","28380.29289","-9.6849","-35.0411"
"37.5330","27.7385","28498.56377","-9.6849","-35.1952"
"37.5380","27.7900","28622.14088","-9.6849","-35.3516"
"37.5430","27.8407","28745.30792","-9.6849","-35.4942"
"37.5480","27.8909","28864.87007","-9.6849","-35.6273"
"37.5530","27.9405","28977.01073","-9.6849","-35.7407"
"37.5580","27.9899","29082.91054","-9.6849","-35.8224"
"37.5630","28.0390","29188.39455","-9.6849","-35.8903"
"37.5680","28.0879","29294.48700","-9.6849","-35.9601"
"37.5730","28.1368","29399.37973","-9.6849","-36.0506"
"37.5770","28.1759","29482.89871","-9.6849","-36.1336"
"37.5780","28.1857","29503.69072","-9.6849","-36.1525"
"40.0640","32.6062","32077.41928","-9.6849","-30.1434"
"40.0690","32.6062","32071.25473","-9.6849","-30.1266"
"40.0740","32.6063","32067.34467","-9.6849","-30.1137"
"40.0790","32.6068","32068.60352","-9.6849","-30.1055"
"40.0840","32.6085","32074.85580","-9.6849","-30.0941"
"40.0890","32.6124","32083.83179","-9.6849","-30.0906"
"40.0940","32.6202","32094.00940","-9.6849","-30.0891"
"40.0990","32.6336","32108.86002","-9.6849","-30.0837"
"40.1040","32.6537","32137.27951","-9.6849","-30.0912"
"40.1090","32.6812","32194.03839","-9.6849","-30.1411"
"40.1140","32.7159","32288.66959","-9.6849","-30.2423"
"40.1190","32.7569","32418.26248","-9.6849","-30.3765"
"40.1240","32.8029","32571.67816","-9.6849","-30.5160"
"40.1290","32.8527","32729.86221","-9.6849","-30.6478"
"40.1340","32.9048","32877.08282","-9.6849","-30.7744"
"40.1390","32.9581","33007.09534","-9.6849","-30.8733"
"40.1440","33.0119","33123.19946","-9.6849","-30.9325"
"40.1490","33.0653","33233.94394","-9.6849","-30.9941"
"40.1540","33.1183","33349.55215","-9.6849","-31.0743"
"40.1590","33.1704","33474.19739","-9.6849","-31.1670"
"40.1640","33.2219","33604.08020","-9.6849","-31.2757"
"40.1690","33.2726","33730.36575","-9.6849","-31.3732"
"40.1740","33.3227","33848.28949","-9.6849","-31.4494"
"40.1790","33.3724","33956.47049","-9.6849","-31.5024"
"40.1840","33.4218","34059.90601","-9.6849","-31.5350"
"40.1890","33.4709","34164.33716","-9.6849","-31.5818"
"40.1940","33.5199","34273.62061","-9.6849","-31.6474"
"40.1990","33.5688","34386.54709","-9.6849","-31.7219"
"40.2030","33.6079","34477.05841","-9.6849","-31.7816"
"40.2040","33.6176","34499.27902","-9.6849","-31.7927"
"48.5720","0.0007","-10241.17947","-19.4598","76.7478"
"48.5770","0.0007","-10236.46450","-19.4598","76.7318"
"48.5820","0.0008","-10224.08581","-19.4598","76.6905"
"48.5870","0.0016","-10203.15361","-19.4598","76.6386"
"48.5920","0.0043","-10179.10194","-19.4598","76.5841"
"48.5970","0.0105","-10157.13978","-19.4598","76.5036"
"48.6020","0.0220","-10137.79926","-19.4598","76.3604"
"48.6070","0.0404","-10111.54842","-19.4598","76.1568"
